empresa,cargo,ubicacion,area,estado,fecha,link,notas,match
Antofagasta Minerals,Ingeniero de Recursos Hídricos,"Antofagasta, Chile",Minería / Agua,Por postular,2026-08-01,https://cl.linkedin.com/jobs/ingeniero-de-recursos-h%C3%ADdricos-empleos,Requiere hidrología e hidrogeología. Encaja con estudios de fuente y acuíferos.,Alto
Codelco,Analista de Gestión de Agua,"Calama, Chile",Minería / Agua,Por postular,2026-07-30,https://cl.linkedin.com/jobs/ingeniero-de-recursos-h%C3%ADdricos-empleos,Gestión hídrica en gran minería. Pide 3-5 años.,Alto
JRI Ingeniería,Ingeniero Hidráulico Jr,"Santiago, Chile",Hidráulica / Consultoría,Por postular,2026-07-28,https://cl.indeed.com/q-ingeniero-hidr%C3%A1ulico-empleos.html,Consultora con proyectos de relaves y bombeo. Ideal por diplomado.,Alto
Arcadis Chile,Ingeniero de Proyectos Hidráulicos,"Santiago, Chile",Hidráulica / Consultoría,Postulado,2026-07-20,https://cl.indeed.com/q-ingeniero-civil-hidraulico-empleos.html,Postulé el 20-07. Esperando respuesta.,Medio
SQM,Ingeniero de Operaciones - Agua,"Antofagasta, Chile",Minería / Agua,Postulado,2026-07-18,https://cl.jooble.org/trabajo-agua-ingeniero/Chile,Postulado vía portal. Proyectos de agua para procesos.,Alto
Aguas Andinas,Ingeniero de Estudios Hidráulicos,"Santiago, Chile",Agua Potable,Entrevista,2026-07-10,https://cl.indeed.com/Empleos-de-Recursos-hidricos,Primera entrevista 12-08. Encaja con agua potable.,Alto
BHP (Minera Escondida),Ingeniero Junior Gestión Hídrica,"Antofagasta, Chile",Minería / Agua,Entrevista,2026-07-05,https://cl.linkedin.com/jobs/ingeniero-de-recursos-h%C3%ADdricos-empleos,Proceso avanzado. Segunda entrevista pendiente.,Alto
Amec Foster / Wood,Ingeniero de Tranques de Relave,"Valparaíso, Chile",Minería / Relaves,Rechazado,2026-06-25,https://cl.trabajo.org/oferta-1401-f32cca991b2c73fcf249e68465d92798,Pedían 8+ años. Fuera de rango de experiencia.,Bajo
Anglo American,Ingeniero de Riego y Tranques,"Rancagua, Chile",Minería / Agua,Por postular,2026-08-02,https://empleo.mitula.cl/empleo/recursos-hidricos,Tranques de riego, encaja con experiencia previa.,Alto
Golder / WSP,Hidrogeólogo Junior,"Santiago, Chile",Hidrogeología / Consultoría,Por postular,2026-08-03,https://cl.indeed.com/Empleos-de-Recursos-hidricos,Vulnerabilidad de acuíferos y estudios de fuente. Match directo.,Alto
